mask_size_class,xai_method,concept,n,mean_iou,mean_dice,mean_sir,mean_tixai,mean_pearson_corr,mean_concept_area
very_tiny,gradcam,border_w16_dil6_sigma10_dist,99,0.0014098778320291439,0.002777883844507946,0.005763764036913412,0.07140816522367073,0.02209307648997943,0.0007573341836734694
very_tiny,lime,border_w16_dil6_sigma10_dist,99,0.0013618443098551692,0.002697058434237298,0.0013694957197371005,0.1081164629772456,0.009706756244865236,0.0007573341836734694
normal,shap,border_w8_dil2_sigma5,11254,0.002316329019898923,0.004612709579763306,0.0020153398767721853,0.5156810147777499,0.027003427349889864,0.0017078323965537875
normal,lime,border_w8_dil2_sigma5,11254,0.0019291033515793543,0.003844633551642613,0.0019377556320970958,0.4462387506142179,0.01365715633041812,0.0017078323965537875
normal,gradcam,border_w8_dil2_sigma5,11254,0.00178549524857949,0.0035585182606182666,0.0013215159674772063,0.18617553194513503,3.628750821179068e-05,0.0017078323965537875
small,shap,border_w8_dil2_sigma5,971,0.004465615677063815,0.008880156950833322,0.0032479554970089794,0.6850864743597107,0.10299728270815253,0.0014192678229891338
small,lime,border_w8_dil2_sigma5,971,0.002331212464298052,0.00464541226011174,0.0023567907655241828,0.5564883527884031,0.04419049195950207,0.0014192678229891338
small,gradcam,border_w8_dil2_sigma5,971,0.001864240969602028,0.0037130801602844846,0.002998080213987344,0.24742075225796809,0.032758334640665514,0.0014192678229891338
tiny,shap,border_w8_dil2_sigma5,285,0.004880299391638974,0.009701613801090561,0.0037812414489228996,0.717551230547721,0.10592929915920551,0.0013907536698890084
tiny,lime,border_w8_dil2_sigma5,285,0.002755138873668485,0.005487789624639168,0.002804694588147022,0.6114505618287805,0.048920237042144606,0.0013907536698890084
tiny,gradcam,border_w8_dil2_sigma5,285,0.002001176078180955,0.003984658684955831,0.004276868218444737,0.28575875016680935,0.04631581528787345,0.0013907536698890084
very_tiny,shap,border_w8_dil2_sigma5,99,0.005200333124160812,0.010335735514180251,0.0043175742747450264,0.7340154978964064,0.11153444873844048,0.0013526125412286127
very_tiny,lime,border_w8_dil2_sigma5,99,0.002494833169294881,0.0049712504121052605,0.0026444836059288882,0.5819521421434903,0.034285912434333446,0.0013526125412286127
very_tiny,gradcam,border_w8_dil2_sigma5,99,0.0021719303257958763,0.004322981008755432,0.00483146485533904,0.24516478692642366,0.04098279571223734,0.0013526125412286127
normal,shap,colour_heterogeneity,11254,0.08535669298190057,0.15136122495277676,0.08275915936890813,0.6609322261710732,0.3676631895144369,0.04438263043604904
normal,lime,colour_heterogeneity,11254,0.0586679504122266,0.10706212516808855,0.06516425670497492,0.5797516858402445,0.1812551150458491,0.04438263043604904
normal,gradcam,colour_heterogeneity,11254,0.05454331340452327,0.09897065181723921,0.06290149478690696,0.32171210865087796,0.09711739937851387,0.04438263043604904
small,shap,colour_heterogeneity,971,0.028082353037595438,0.05411403571787664,0.023844923091890246,0.7289645825920341,0.2571676954224776,0.008223555658746506
small,lime,colour_heterogeneity,971,0.017338234570629437,0.03374980095261437,0.017802779457101337,0.6300654996639208,0.12836192323625134,0.008223555658746506
small,gradcam,colour_heterogeneity,971,0.012065490829471698,0.023449073280000718,0.02948840602357403,0.29213652646492294,0.0960437565433756,0.008223555658746506
tiny,shap,colour_heterogeneity,285,0.016024597800681096,0.03140679943383623,0.014320887860294692,0.7520214934098093,0.20601658072896137,0.004268413779985679
tiny,lime,colour_heterogeneity,285,0.009611125181663559,0.01893931093342438,0.009815513856531318,0.6326432271680811,0.08990830600295004,0.004268413779985679
tiny,gradcam,colour_heterogeneity,285,0.0063689056440256395,0.012551549592968975,0.01602755643957368,0.27947726756857155,0.07707105075577138,0.004268413779985679
very_tiny,shap,colour_heterogeneity,99,0.008685262549041877,0.01717548459566852,0.007865665145947437,0.7583541924303229,0.15663479335622058,0.0022414031900639046
very_tiny,lime,colour_heterogeneity,99,0.004200358631585406,0.008338333659231674,0.004289560817569233,0.5709624685196564,0.044066333530365674,0.0022414031900639046
very_tiny,gradcam,colour_heterogeneity,99,0.0035558981289383882,0.007049378480048971,0.008948504416780039,0.24411108909231244,0.05168210993308252,0.0022414031900639046
