mask_size_class,xai_method,concept,n,mean_observed_dice,mean_random_dice,mean_dice_enrichment,mean_dice_z,mean_observed_iou,mean_random_iou,mean_iou_enrichment,mean_iou_z,mean_observed_sir,mean_random_sir,mean_sir_enrichment,mean_sir_z,mean_concept_area_ratio_lesion
small,shap,border_w16_dil6_sigma10_dist,971,0.034353280846235325,0.03734732090627825,0.9289646830456036,-2.390596728586213,0.017529715242535236,0.019090807609504292,0.9279228541580462,-2.376359121813999,0.013026100802177708,0.015428741011204079,0.8784521526056095,-2.8229386037315263,0.1704155379581611
tiny,gradcam,border_w16_dil6_sigma10_dist,285,0.01298179490140409,0.013521167860779676,1.065498038864785,-3.464661095450183,0.006574728164915303,0.006857608309260049,1.0656782627364816,-3.42447339364193,0.015568263129135217,0.017034191010476256,1.263065102148419,-2.392711612743203,0.307145324808606
tiny,lime,border_w16_dil6_sigma10_dist,285,0.01887733189584217,0.02140235025447834,0.9708487886065739,-4.329417315885737,0.00955348197515673,0.010849163339447247,0.9705261587408225,-4.303928385036777,0.009795541133659614,0.011100170996392227,0.9693539774828914,-4.332145454501716,0.307145324808606
tiny,shap,border_w16_dil6_sigma10_dist,285,0.031044520297226465,0.03245492329089357,0.960147446310366,-1.5511511564126867,0.01579437006406644,0.016523183049694277,0.9596319997510194,-1.5451536743887466,0.012238176164879665,0.013942333640765126,0.902203544619169,-2.1647953221059453,0.307145324808606
very_tiny,gradcam,border_w16_dil6_sigma10_dist,99,0.01527836114479366,0.015320459209778505,0.9984309290174588,-3.1835152253738723,0.007754328076160262,0.007776019594531527,0.9984074402807652,-3.18250208656078,0.03170070220302375,0.033028540583715446,1.1039510826776113,-2.310016520971127,0.08021339322407874
very_tiny,shap,border_w16_dil6_sigma10_dist,99,0.030441767129030003,0.03037758492934343,1.0134103427242,-0.16964904940741724,0.015481477936529946,0.015450448919221696,1.0135380288675466,-0.1664492571336712,0.012779422207838911,0.013171018338374117,0.9856960910256755,-0.12678065646011152,0.08021339322407874
very_tiny,lime,border_w16_dil6_sigma10_dist,99,0.014833821388305095,0.017443683411131054,0.8877826927801322,-4.4073650915897575,0.007490143704203384,0.008818603069036429,0.8871929155390067,-4.389973963881006,0.007532226458554007,0.008854541319629337,0.8877826923878342,-4.407364192340496,0.08021339322407874
normal,gradcam,border_w8_dil2_sigma5,11252,0.0035591507736400193,0.004575863159999716,1.019212422057152,-2.8199921783441817,0.0017858126135365361,0.002297807319312565,1.0196709115137643,-2.8031220649400836,0.001321750861890177,0.0024489124171399234,2.185616658373814,-1.1283072876618174,0.009229368339286618
normal,lime,border_w8_dil2_sigma5,11252,0.0038453169205639433,0.005663479569503959,0.77594589973323,-3.3340751008339002,0.001929446242327904,0.00284391807478628,0.7761001392100839,-3.321835395719802,0.0019381000607554429,0.002874130102504438,0.7716483050696782,-3.341172326546307,0.009229368339286618
normal,shap,border_w8_dil2_sigma5,11252,0.004613529471263395,0.008377808659644671,0.5303923323997166,-4.178406117849837,0.002316740738530217,0.004214318303615955,0.5297506613626112,-4.165556921119609,0.0020156980957335246,0.0032747279381729402,0.6240301363070867,-4.119474572182269,0.009229368339286618
small,gradcam,border_w8_dil2_sigma5,971,0.003713080160284443,0.004043302336750936,1.0518942108377027,-2.628203070871527,0.0018642409696019854,0.0020311319753917477,1.051957058975249,-2.618383987236966,0.0029980802139873285,0.004769909592832129,1.2637540709447292,-2.5182663803798184,0.04282879563601211
small,shap,border_w8_dil2_sigma5,971,0.008880156950833272,0.009607477428681578,0.94617533103897,-1.0620492651163465,0.0044656156770637645,0.004833721869977345,0.9459945384784534,-1.0593748689684763,0.0032479554970089295,0.0038820012162552207,0.887107981109483,-1.230809683780193,0.04282879563601211
small,lime,border_w8_dil2_sigma5,971,0.004645412260111695,0.006628038924923973,0.8910621674459709,-4.586093608013173,0.002331212464298007,0.0033304048643131305,0.891018856373251,-4.5725630115366585,0.002356790765524136,0.003390466028089507,0.8850195734718652,-4.627022031765162,0.04282879563601211
tiny,gradcam,border_w8_dil2_sigma5,285,0.003984658684955791,0.004168239642518006,1.1732183145400217,-2.0354244145821467,0.00200117607818091,0.002094658470817351,1.1735199686570266,-2.0223828059130278,0.004276868218444721,0.004768357233474407,1.688025361248756,-1.2463329261488338,0.09585482328977958
tiny,lime,border_w8_dil2_sigma5,285,0.0054877896246391215,0.006636960049022908,0.9815962789559861,-3.187139675478939,0.0027551388736684365,0.0033344719954790003,0.9816944823897927,-3.178087260681532,0.002804694588146974,0.003397919703241477,0.9790119865467098,-3.2058104418916935,0.09585482328977958
tiny,shap,border_w8_dil2_sigma5,285,0.009701613801090511,0.010153217624575751,0.9690689521033204,-0.749431669617816,0.00488029939163892,0.005108874193667957,0.9689508980675626,-0.74780951511981,0.0037812414489228484,0.004316554290604968,0.9150542016621857,-0.8942626270717744,0.09585482328977958
